question,answer,source,focus_area
what is (are) hellp syndrome ?,,gard,hellp syndrome
what is (are) x-linked lymphoproliferative syndrome ?,,gard,x-linked lymphoproliferative syndrome
what is (are) familial hdl deficiency ?,,gard,familial hdl deficiency
"what is (are) emery-dreifuss muscular dystrophy, x-linked ?",,gard,"emery-dreifuss muscular dystrophy, x-linked"
"what is (are) emery-dreifuss muscular dystrophy, dominant type ?",,gard,"emery-dreifuss muscular dystrophy, dominant type"
what is (are) ?,"on this page general information what is vancomycin-resistant enterococci? what types of infections does vancomycin-resistant enterococci cause? are certain people at risk of getting vancomycin-resistant enterococci? what is the treatment for vancomycin-resistant enterococci? how is vancomycin-resistant enterococci spread? how can patients prevent the spread of vancomycin-resistant enterococci? what should a patient do if they think they have vancomycin-resistant enterococci? recommendations and guidelines general information for more images of this bacterium, search the public health image library what is vancomycin-resistant enterococci? enteroccocci are bacteria that are normally present in the human intestines and in the female genital tract and are often found in the environment. these bacteria can sometimes cause infections. vancomycin is an antibiotic that is used to treat some drug-resistant infections caused by enterococci. in some instances, enterococci have become resistant to this drug and thus are called vancomycin-resistant enterococci (vre). most vre infections occur in hospitals. top of page what types of infections does vre cause? vre can live in the human intestines and female genital tract without causing disease (often called colonization). however, sometimes it can cause infections of the urinary tract, the bloodstream, or of wounds associated with catheters or surgical procedures. top of page are certain people at risk of getting vre? the following persons are at increased risk becoming infected with vre: people who have been previously treated with the antibiotic vancomycin or other antibiotics for long periods of time. people who are hospitalized, particularly when they receive antibiotic treatment for long periods of time. people with weakened immune systems such as patients in intensive care units, or in cancer or transplant wards. people who have undergone surgical procedures such as abdominal or chest surgery. people with medical devices that stay in for some time such as urinary catheters or central intravenous (iv) catheters. people who are colonized with vre. top of page what is the treatment for vre? people with colonized vre (bacteria are present, but have no symptoms of an infection) do not need treatment. most vre infections can be treated with antibiotics other than vancomycin. laboratory testing of the vre can determine which antibiotics will work. for people who get vre infections in their bladder and have urinary catheters, removal of the catheter when it is no longer needed can also help get rid of the infection. top of page how is vre spread? vre is often passed from person to person by the contaminated hands of caregivers. vre can get onto a caregiver's hands after they have contact with other people with vre or after contact with contaminated surfaces. vre can also be spread directly to people after they touch surfaces that are contaminated with vre. vre is not spread through the air by coughing or sneezing. top of page how can patients prevent the spread of vre? if a patient or someone in their household has vre, the following are some things they can do to prevent the spread of vre: keep their hands clean. always wash their hands thoroughly after using the bathroom and before preparing food. clean their hands after contact with persons who have vre. wash with soap and water (particularly when visibly soiled) or use alcohol-based hand rubs. frequently clean areas of the home, such as bathrooms, that may become contaminated with vre. wear gloves if hands may come in contact with body fluids that may contain vre, such as stool or bandages from infected wounds. always wash their hands after removing gloves. if someone has vre, be sure to tell healthcare providers so that they are aware of the infection. healthcare facilities use special precautions to help prevent the spread of vre to others. top of page what should patients do if they think they have vancomycin-resistant enterococci (vre)? anyone who thinks they have vre must talk with their healthcare provider. top of page recommendations and guidelines for more information about prevention and treatment of hais, see the resources below: siegel jd, rhinehart e, jackson m, et al. the healthcare infection control practices advisory committee (hicpac). management of multidrug-resistant organisms in healthcare settings, 2006",cdc,
what is vancomycin-resistant enterococci?,"on this page general information what is vancomycin-resistant enterococci? what types of infections does vancomycin-resistant enterococci cause? are certain people at risk of getting vancomycin-resistant enterococci? what is the treatment for vancomycin-resistant enterococci? how is vancomycin-resistant enterococci spread? how can patients prevent the spread of vancomycin-resistant enterococci? what should a patient do if they think they have vancomycin-resistant enterococci? recommendations and guidelines general information for more images of this bacterium, search the public health image library what is vancomycin-resistant enterococci? enteroccocci are bacteria that are normally present in the human intestines and in the female genital tract and are often found in the environment. these bacteria can sometimes cause infections. vancomycin is an antibiotic that is used to treat some drug-resistant infections caused by enterococci. in some instances, enterococci have become resistant to this drug and thus are called vancomycin-resistant enterococci (vre). most vre infections occur in hospitals. top of page what types of infections does vre cause? vre can live in the human intestines and female genital tract without causing disease (often called colonization). however, sometimes it can cause infections of the urinary tract, the bloodstream, or of wounds associated with catheters or surgical procedures. top of page are certain people at risk of getting vre? the following persons are at increased risk becoming infected with vre: people who have been previously treated with the antibiotic vancomycin or other antibiotics for long periods of time. people who are hospitalized, particularly when they receive antibiotic treatment for long periods of time. people with weakened immune systems such as patients in intensive care units, or in cancer or transplant wards. people who have undergone surgical procedures such as abdominal or chest surgery. people with medical devices that stay in for some time such as urinary catheters or central intravenous (iv) catheters. people who are colonized with vre. top of page what is the treatment for vre? people with colonized vre (bacteria are present, but have no symptoms of an infection) do not need treatment. most vre infections can be treated with antibiotics other than vancomycin. laboratory testing of the vre can determine which antibiotics will work. for people who get vre infections in their bladder and have urinary catheters, removal of the catheter when it is no longer needed can also help get rid of the infection. top of page how is vre spread? vre is often passed from person to person by the contaminated hands of caregivers. vre can get onto a caregiver's hands after they have contact with other people with vre or after contact with contaminated surfaces. vre can also be spread directly to people after they touch surfaces that are contaminated with vre. vre is not spread through the air by coughing or sneezing. top of page how can patients prevent the spread of vre? if a patient or someone in their household has vre, the following are some things they can do to prevent the spread of vre: keep their hands clean. always wash their hands thoroughly after using the bathroom and before preparing food. clean their hands after contact with persons who have vre. wash with soap and water (particularly when visibly soiled) or use alcohol-based hand rubs. frequently clean areas of the home, such as bathrooms, that may become contaminated with vre. wear gloves if hands may come in contact with body fluids that may contain vre, such as stool or bandages from infected wounds. always wash their hands after removing gloves. if someone has vre, be sure to tell healthcare providers so that they are aware of the infection. healthcare facilities use special precautions to help prevent the spread of vre to others. top of page what should patients do if they think they have vancomycin-resistant enterococci (vre)? anyone who thinks they have vre must talk with their healthcare provider. top of page recommendations and guidelines for more information about prevention and treatment of hais, see the resources below: siegel jd, rhinehart e, jackson m, et al. the healthcare infection control practices advisory committee (hicpac). management of multidrug-resistant organisms in healthcare settings, 2006",cdc,
what types of infections does vancomycin-resistant enterococci cause?,"on this page general information what is vancomycin-resistant enterococci? what types of infections does vancomycin-resistant enterococci cause? are certain people at risk of getting vancomycin-resistant enterococci? what is the treatment for vancomycin-resistant enterococci? how is vancomycin-resistant enterococci spread? how can patients prevent the spread of vancomycin-resistant enterococci? what should a patient do if they think they have vancomycin-resistant enterococci? recommendations and guidelines general information for more images of this bacterium, search the public health image library what is vancomycin-resistant enterococci? enteroccocci are bacteria that are normally present in the human intestines and in the female genital tract and are often found in the environment. these bacteria can sometimes cause infections. vancomycin is an antibiotic that is used to treat some drug-resistant infections caused by enterococci. in some instances, enterococci have become resistant to this drug and thus are called vancomycin-resistant enterococci (vre). most vre infections occur in hospitals. top of page what types of infections does vre cause? vre can live in the human intestines and female genital tract without causing disease (often called colonization). however, sometimes it can cause infections of the urinary tract, the bloodstream, or of wounds associated with catheters or surgical procedures. top of page are certain people at risk of getting vre? the following persons are at increased risk becoming infected with vre: people who have been previously treated with the antibiotic vancomycin or other antibiotics for long periods of time. people who are hospitalized, particularly when they receive antibiotic treatment for long periods of time. people with weakened immune systems such as patients in intensive care units, or in cancer or transplant wards. people who have undergone surgical procedures such as abdominal or chest surgery. people with medical devices that stay in for some time such as urinary catheters or central intravenous (iv) catheters. people who are colonized with vre. top of page what is the treatment for vre? people with colonized vre (bacteria are present, but have no symptoms of an infection) do not need treatment. most vre infections can be treated with antibiotics other than vancomycin. laboratory testing of the vre can determine which antibiotics will work. for people who get vre infections in their bladder and have urinary catheters, removal of the catheter when it is no longer needed can also help get rid of the infection. top of page how is vre spread? vre is often passed from person to person by the contaminated hands of caregivers. vre can get onto a caregiver's hands after they have contact with other people with vre or after contact with contaminated surfaces. vre can also be spread directly to people after they touch surfaces that are contaminated with vre. vre is not spread through the air by coughing or sneezing. top of page how can patients prevent the spread of vre? if a patient or someone in their household has vre, the following are some things they can do to prevent the spread of vre: keep their hands clean. always wash their hands thoroughly after using the bathroom and before preparing food. clean their hands after contact with persons who have vre. wash with soap and water (particularly when visibly soiled) or use alcohol-based hand rubs. frequently clean areas of the home, such as bathrooms, that may become contaminated with vre. wear gloves if hands may come in contact with body fluids that may contain vre, such as stool or bandages from infected wounds. always wash their hands after removing gloves. if someone has vre, be sure to tell healthcare providers so that they are aware of the infection. healthcare facilities use special precautions to help prevent the spread of vre to others. top of page what should patients do if they think they have vancomycin-resistant enterococci (vre)? anyone who thinks they have vre must talk with their healthcare provider. top of page recommendations and guidelines for more information about prevention and treatment of hais, see the resources below: siegel jd, rhinehart e, jackson m, et al. the healthcare infection control practices advisory committee (hicpac). management of multidrug-resistant organisms in healthcare settings, 2006",cdc,
are certain people at risk of getting vancomycin-resistant enterococci?,"on this page general information what is vancomycin-resistant enterococci? what types of infections does vancomycin-resistant enterococci cause? are certain people at risk of getting vancomycin-resistant enterococci? what is the treatment for vancomycin-resistant enterococci? how is vancomycin-resistant enterococci spread? how can patients prevent the spread of vancomycin-resistant enterococci? what should a patient do if they think they have vancomycin-resistant enterococci? recommendations and guidelines general information for more images of this bacterium, search the public health image library what is vancomycin-resistant enterococci? enteroccocci are bacteria that are normally present in the human intestines and in the female genital tract and are often found in the environment. these bacteria can sometimes cause infections. vancomycin is an antibiotic that is used to treat some drug-resistant infections caused by enterococci. in some instances, enterococci have become resistant to this drug and thus are called vancomycin-resistant enterococci (vre). most vre infections occur in hospitals. top of page what types of infections does vre cause? vre can live in the human intestines and female genital tract without causing disease (often called colonization). however, sometimes it can cause infections of the urinary tract, the bloodstream, or of wounds associated with catheters or surgical procedures. top of page are certain people at risk of getting vre? the following persons are at increased risk becoming infected with vre: people who have been previously treated with the antibiotic vancomycin or other antibiotics for long periods of time. people who are hospitalized, particularly when they receive antibiotic treatment for long periods of time. people with weakened immune systems such as patients in intensive care units, or in cancer or transplant wards. people who have undergone surgical procedures such as abdominal or chest surgery. people with medical devices that stay in for some time such as urinary catheters or central intravenous (iv) catheters. people who are colonized with vre. top of page what is the treatment for vre? people with colonized vre (bacteria are present, but have no symptoms of an infection) do not need treatment. most vre infections can be treated with antibiotics other than vancomycin. laboratory testing of the vre can determine which antibiotics will work. for people who get vre infections in their bladder and have urinary catheters, removal of the catheter when it is no longer needed can also help get rid of the infection. top of page how is vre spread? vre is often passed from person to person by the contaminated hands of caregivers. vre can get onto a caregiver's hands after they have contact with other people with vre or after contact with contaminated surfaces. vre can also be spread directly to people after they touch surfaces that are contaminated with vre. vre is not spread through the air by coughing or sneezing. top of page how can patients prevent the spread of vre? if a patient or someone in their household has vre, the following are some things they can do to prevent the spread of vre: keep their hands clean. always wash their hands thoroughly after using the bathroom and before preparing food. clean their hands after contact with persons who have vre. wash with soap and water (particularly when visibly soiled) or use alcohol-based hand rubs. frequently clean areas of the home, such as bathrooms, that may become contaminated with vre. wear gloves if hands may come in contact with body fluids that may contain vre, such as stool or bandages from infected wounds. always wash their hands after removing gloves. if someone has vre, be sure to tell healthcare providers so that they are aware of the infection. healthcare facilities use special precautions to help prevent the spread of vre to others. top of page what should patients do if they think they have vancomycin-resistant enterococci (vre)? anyone who thinks they have vre must talk with their healthcare provider. top of page recommendations and guidelines for more information about prevention and treatment of hais, see the resources below: siegel jd, rhinehart e, jackson m, et al. the healthcare infection control practices advisory committee (hicpac). management of multidrug-resistant organisms in healthcare settings, 2006",cdc,
what is the treatment for vancomycin-resistant enterococci?,"on this page general information what is vancomycin-resistant enterococci? what types of infections does vancomycin-resistant enterococci cause? are certain people at risk of getting vancomycin-resistant enterococci? what is the treatment for vancomycin-resistant enterococci? how is vancomycin-resistant enterococci spread? how can patients prevent the spread of vancomycin-resistant enterococci? what should a patient do if they think they have vancomycin-resistant enterococci? recommendations and guidelines general information for more images of this bacterium, search the public health image library what is vancomycin-resistant enterococci? enteroccocci are bacteria that are normally present in the human intestines and in the female genital tract and are often found in the environment. these bacteria can sometimes cause infections. vancomycin is an antibiotic that is used to treat some drug-resistant infections caused by enterococci. in some instances, enterococci have become resistant to this drug and thus are called vancomycin-resistant enterococci (vre). most vre infections occur in hospitals. top of page what types of infections does vre cause? vre can live in the human intestines and female genital tract without causing disease (often called colonization). however, sometimes it can cause infections of the urinary tract, the bloodstream, or of wounds associated with catheters or surgical procedures. top of page are certain people at risk of getting vre? the following persons are at increased risk becoming infected with vre: people who have been previously treated with the antibiotic vancomycin or other antibiotics for long periods of time. people who are hospitalized, particularly when they receive antibiotic treatment for long periods of time. people with weakened immune systems such as patients in intensive care units, or in cancer or transplant wards. people who have undergone surgical procedures such as abdominal or chest surgery. people with medical devices that stay in for some time such as urinary catheters or central intravenous (iv) catheters. people who are colonized with vre. top of page what is the treatment for vre? people with colonized vre (bacteria are present, but have no symptoms of an infection) do not need treatment. most vre infections can be treated with antibiotics other than vancomycin. laboratory testing of the vre can determine which antibiotics will work. for people who get vre infections in their bladder and have urinary catheters, removal of the catheter when it is no longer needed can also help get rid of the infection. top of page how is vre spread? vre is often passed from person to person by the contaminated hands of caregivers. vre can get onto a caregiver's hands after they have contact with other people with vre or after contact with contaminated surfaces. vre can also be spread directly to people after they touch surfaces that are contaminated with vre. vre is not spread through the air by coughing or sneezing. top of page how can patients prevent the spread of vre? if a patient or someone in their household has vre, the following are some things they can do to prevent the spread of vre: keep their hands clean. always wash their hands thoroughly after using the bathroom and before preparing food. clean their hands after contact with persons who have vre. wash with soap and water (particularly when visibly soiled) or use alcohol-based hand rubs. frequently clean areas of the home, such as bathrooms, that may become contaminated with vre. wear gloves if hands may come in contact with body fluids that may contain vre, such as stool or bandages from infected wounds. always wash their hands after removing gloves. if someone has vre, be sure to tell healthcare providers so that they are aware of the infection. healthcare facilities use special precautions to help prevent the spread of vre to others. top of page what should patients do if they think they have vancomycin-resistant enterococci (vre)? anyone who thinks they have vre must talk with their healthcare provider. top of page recommendations and guidelines for more information about prevention and treatment of hais, see the resources below: siegel jd, rhinehart e, jackson m, et al. the healthcare infection control practices advisory committee (hicpac). management of multidrug-resistant organisms in healthcare settings, 2006",cdc,
